Vuln ID,Severity,Group Title,Rule ID,STIG ID,Rule Title,Discussion,IA Controls,Check Content,Fix Text,False Positives,False Negatives,Documentable,Mitigations,Potential Impact,Third Party Tools,Mitigation Control,Responsibility,Severity Override Guidance,Check Content Reference,Classification,STIG,Asset Posture,CCI,NIST SP 800-53 Revision 4 References,Legacy
V-239945,low,SRG-NET-000077-VPN-000280,SV-239945r666241_rule,CASA-VN-000010,The Cisco ASA must be configured to generate log records containing information to establish what type of VPN events occurred.,"Without establishing what type of event occurred, it would be difficult to establish, correlate, and investigate the events leading up to an outage or attack.

VPN gateways often have a separate audit log for capturing VPN status and other information about the traffic (as opposed to the log capturing administrative and configuration actions). Audit record content that may be necessary to satisfy this requirement includes, for example, time stamps, source and destination addresses, user/process identifiers, event descriptions, success/fail indications, filenames involved, and access control or flow control rules invoked.

Associating event types with detected events in the VPN gateway logs provides a means of investigating an attack, recognizing resource utilization or capacity thresholds, or identifying an improperly configured VPN gateway.",,"Review the ASA configuration to determine if VPN events are logged as shown in the example below.

logging class vpn trap notifications 
logging class vpnc trap notifications 
logging class vpnfo trap notifications 
logging class webfo trap notifications 
logging class webvpn trap notifications 
logging class svc trap notifications

Note: A logging list can be used as an alternative to using class.

If the ASA is not configured to log entries containing information to establish what type of VPN events occurred, this is a finding.","Configure the ASA to generate logs containing information to establish what type of VPN events occurred as shown in the example below.

ciscoasa(config)# logging class vpn trap notifications 
ciscoasa(config)# logging class vpnc trap notifications 
ciscoasa(config)# logging class vpnfo trap notifications 
ciscoasa(config)# logging class webvpn trap notifications 
ciscoasa(config)# logging class webfo trap notifications
ciscoasa(config)# logging class svc trap notifications 
ciscoasa(config)# end",,,FALSE,,,,,,,M,Unclass,"Cisco ASA VPN Security Technical Implementation Guide :: Version 1, Release: 1 Benchmark Date: 15 Jul 2021",5344,"CCI-000130
The information system generates audit records containing information that establishes what type of event occurred.
NIST SP 800-53 :: AU-3
NIST SP 800-53A :: AU-3.1
NIST SP 800-53 Revision 4 :: AU-3

",AU-3,
V-239946,low,SRG-NET-000078-VPN-000290,SV-239946r666244_rule,CASA-VN-000020,The Cisco ASA must be configured to generate log records containing information to establish when the events occurred.,"Without establishing when events occurred, it is impossible to establish, correlate, and investigate the events leading up to an outage or attack.

VPN gateways often have a separate audit log for capturing VPN status and other information about the traffic (as opposed to the log capturing administrative and configuration actions).

Associating event types with detected events in the network audit logs provides a means of investigating an attack, recognizing resource utilization or capacity thresholds, or identifying an improperly configured VPN gateway.",,"Verify that the logging timestamp command has been configured as shown below.

logging enable
logging timestamp

If the ASA is not configured to generate traffic log entries containing information to establish when the events occurred, this is a finding.","Configure the ASA to generate traffic log entries containing information to establish when the events occurred.

ASA(config)# logging timestamp",,,FALSE,,,,,,,M,Unclass,"Cisco ASA VPN Security Technical Implementation Guide :: Version 1, Release: 1 Benchmark Date: 15 Jul 2021",5344,"CCI-000131
The information system generates audit records containing information that establishes when an event occurred.
NIST SP 800-53 :: AU-3
NIST SP 800-53A :: AU-3.1
NIST SP 800-53 Revision 4 :: AU-3

",AU-3,
V-239947,medium,SRG-NET-000336-VPN-001280,SV-239947r666247_rule,CASA-VN-000080,The Cisco ASA must be configured to queue log records locally in the event that the central audit server is down or not reachable.,"If the system were to continue processing after audit failure, actions can be taken on the system that cannot be tracked and recorded for later forensic analysis.

Because of the importance of ensuring mission/business continuity, organizations may determine that the nature of the audit failure is not so severe that it warrants a complete shutdown of the application supporting the core organizational missions/business operations. In those instances, partial application shutdowns or operating in a degraded mode with reduced capability may be viable alternatives.

This requirement only applies to components where this is specific to the function of the device (e.g., IDPS sensor logs, firewall logs). This does not apply to audit logs generated on behalf of the device itself (management).",,"If the ASA is configured to send syslog messages to a TCP-based syslog server, and if the syslog server is down new connections are blocked. To continue to allow new connections and queue log records verify that the logging permit-hostdown and the queue size has been increased (default is 512).

logging enable
…
…
…
logging queue 8192
logging host NDM_INTERFACE 10.1.22.2 6/1514
logging permit-hostdown

If the ASA is not configured to queue log records locally in the event that the central audit server is down or not reachable, this is a finding.","To continue to allow new connections and queue log records in the event the syslog server is not reachable, configure logging permit-hostdown and increase the queue size.

ASA(config)# logging permit-hostdown 
ASA(config)# logging queue 8192",,,FALSE,,,,,,,M,Unclass,"Cisco ASA VPN Security Technical Implementation Guide :: Version 1, Release: 1 Benchmark Date: 15 Jul 2021",5344,"CCI-001861
The information system invokes an organization-defined system mode, in the event of organization-defined audit failures, unless an alternate audit capability exists.
NIST SP 800-53 Revision 4 :: AU-5 (4)

",AU-5 (4),
V-239948,medium,SRG-NET-000335-VPN-001270,SV-239948r666250_rule,CASA-VN-000090,The Cisco ASA must be configured to generate an alert that can be forwarded as an alert to organization-defined personnel and/or firewall administrator of all log failure events.,"It is critical for the appropriate personnel to be aware if a system is at risk of failing to process audit logs as required. Without a real-time alert, security personnel may be unaware of an impending failure of the audit capability and system operation may be adversely affected.

Alerts provide organizations with urgent messages. Automated alerts can be conveyed in a variety of ways, including, for example, telephonically, via electronic mail, via text message, or via websites. Log processing failures include software/hardware errors, failures in the log capturing mechanisms, and log storage capacity being reached or exceeded.

While this requirement also applies to the event monitoring system (e.g., Syslog, Security Information and Event Management [SIEM], or SNMP servers), the VPN Gateway must also be configured to generate a message to the administrator console.

The VPN daemon facility and log facility are messages in the log, which capture actions performed or errors encountered by system processes. The ISSM or ISSO may designate the firewall/system administrator or other authorized personnel to receive the alert within the specified time, validate the alert, then forward only validated alerts to the ISSM and ISSO.",,"Review the Cisco ASA configuration to verify that it is compliant with this requirement as shown in the example below.

logging trap critical
logging host NDM_INTERFACE 10.1.48.10 6/1514

Note: The parameter ""critical"" can replaced with a lesser severity (i.e., error, warning, notice, informational). A logging list can be used as an alternative to the severity level.

If the Cisco ASA is not configured to generate an alert that can be forwarded to organization-defined personnel and/or firewall administrator of all log failure events, this is a finding.","Configure the Cisco ASA to send critical to emergency log messages to the syslog server as shown in the example below.

ASA(config)# logging host NDM_INTERFACE 10.1.48.10 6/1514
ASA(config)# logging trap critical
ASA(config)# end

Note: The parameter ""critical"" can replaced with a lesser severity (i.e., error, warning, notice, informational). A logging list can be used as an alternative to the severity level.",,,FALSE,,,,,,,M,Unclass,"Cisco ASA VPN Security Technical Implementation Guide :: Version 1, Release: 1 Benchmark Date: 15 Jul 2021",5344,"CCI-001858
The information system provides a real-time alert in organization-defined real-time period to organization-defined personnel, roles, and/or locations when organization-defined audit failure events requiring real-time alerts occur.
NIST SP 800-53 Revision 4 :: AU-5 (2)

",AU-5 (2),
V-239949,medium,SRG-NET-000164-VPN-000560,SV-239949r666253_rule,CASA-VN-000120,The Cisco ASA must be configured to validate certificates via a trustpoint that identifies a DoD or DoD-approved certificate authority.,"Without path validation, an informed trust decision by the relying party cannot be made when presented with any certificate not already explicitly trusted. To meet this requirement, the information system must create trusted channels between itself and remote trusted authorized IT product (e.g., syslog server) entities that protect the confidentiality and integrity of communications. The information system must create trusted paths between itself and remote administrators and users that protect the confidentiality and integrity of communications.

A trust anchor is an authoritative entity represented via a public key and associated data. It is most often used in the context of public key infrastructures, X.509 digital certificates, and DNSSEC. However, applications that do not use a trusted path are not approved for non-local and remote management of DoD information systems.

When there is a chain of trust, usually the top entity to be trusted becomes the trust anchor; it can be, for example, a Certification Authority (CA). A certification path starts with the subject certificate and proceeds through a number of intermediate certificates up to a trusted root certificate, typically issued by a trusted CA.

This requirement verifies that a certification path to an accepted trust anchor is used for certificate validation and that the path includes status information. Path validation is necessary for a relying party to make an informed trust decision when presented with any certificate not already explicitly trusted. Status information for certification paths includes certificate revocation lists or online certificate status protocol responses. Validation of the certificate status information is out of scope for this requirement.",,"If PKI certificates are not implemented on the ASA, this requirement is not applicable.

Step 1: Review the ASA configuration to determine if a CA trust point has been configured as shown in the example below.

crypto ca trustpoint CA_X

Step 2: Verify the CA is a DoD or DoD-approved service provider by entering the following command: show crypto ca certificates

The output will list the following information for each certificate:

Associated Trustpoints: (will map to a configured trustpoint from Step 1)
Common Name (CN) of the issuer
Organization Unit (OU) of the issuer
Organization (O) of the issuer
Validity Date

If the ASA is not configured to obtain its public key certificates from a DoD or DoD-approved service provider, this is a finding.",Ensure that certificate requests are only sent to DoD or DoD-approved service providers.,,,FALSE,,,,,,,M,Unclass,"Cisco ASA VPN Security Technical Implementation Guide :: Version 1, Release: 1 Benchmark Date: 15 Jul 2021",5344,"CCI-000185
The information system, for PKI-based authentication validates certifications by constructing and verifying a certification path to an accepted trust anchor including checking certificate status information.
NIST SP 800-53 :: IA-5 (2)
NIST SP 800-53A :: IA-5 (2).1
NIST SP 800-53 Revision 4 :: IA-5 (2) (a)

",IA-5 (2) (a),
V-239950,high,SRG-NET-000512-VPN-002230,SV-239950r666256_rule,CASA-VN-000130,The Cisco ASA must be configured to not accept certificates that have been revoked when using PKI for authentication.,"Situations may arise in which the certificate issued by a Certificate Authority (CA) may need to be revoked before the lifetime of the certificate expires. For example, the certificate is known to have been compromised.

When an incoming Internet Key Exchange (IKE) session is initiated for a remote client or peer whose certificate is revoked, the revocation list configured for use by the VPN server is checked to see if the certificate is valid; if the certificate is revoked, IKE will fail and an IPsec security association will not be established for the remote endpoint.",,"If PKI certificates are not implemented on the ASA, this requirement is not applicable.

Verify the ASA does not accept certificates that have been revoked.

Revocation checking using CRL example:

crypto ca trustpoint CA_X
 revocation-check crl

Note: By default, the ASA will use the distribution points listed in CDP extension of the certificate that is being validated. 

Revocation checking using OCSP example:

crypto ca trustpoint CA_X
 revocation-check ocsp

Note: By default, the ASA will use the OSCP responder address found in the Authority Information Access (AIA) field of the client's certificate. Deployment with CAC would be an exception.

If the ASA accepts certificates that have been revoked, this is a finding.","Configure the ASA to not accept certificates that have been revoked.

Revocation checking using CRL example:

ASA1(config)# crypto ca trustpoint CA_X
ASA1(config-ca-trustpoint)# revocation-check crl
ASA1(config-ca-crl)# end

Revocation checking using OCSP example:

ASA1(config)# crypto ca trustpoint CA_X
ASA1(config-ca-trustpoint)# revocation-check ocsp
ASA1(config-ca-crl)# end",,,FALSE,,,,,,,M,Unclass,"Cisco ASA VPN Security Technical Implementation Guide :: Version 1, Release: 1 Benchmark Date: 15 Jul 2021",5344,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

",CM-6 b,
V-239951,high,SRG-NET-000512-VPN-002220,SV-239951r666259_rule,CASA-VN-000150,The Cisco ASA must be configured to use Internet Key Exchange (IKE) for all IPsec security associations.,"Without IKE, the Security Parameter Index (SPI) is manually specified for each security association. IKE peers will negotiate the encryption algorithm and authentication or hashing methods as well as generate the encryption keys.

An IPsec SA is established using either IKE or manual configuration. When using IKE, the security associations are established when needed and expire after a period of time or volume of traffic threshold. If manually configured, they are established as soon as the configuration is complete at both endpoints and they do not expire. When using IKE, the SPI for each security association is a pseudo-randomly derived number.

With manual configuration of the IPsec security association, both the cipher key and authentication key are static. Hence, if the keys are compromised, the traffic being protected by the current IPsec tunnel can be decrypted as well as traffic in any future tunnels established by this SA. Furthermore, the peers are not authenticated prior to establishing the SA, which could result in a rogue device establishing an IPsec SA with either of the VPN endpoints.

IKE provides primary authentication to verify the identity of the remote system before negotiation begins. This feature is lost when the IPsec security associations are manually configured, which results in a non-terminating session using static pre-shared keys.",,"Step 1: Verify that IKE is configured for the IPsec Phase 1 policy and enabled on applicable interfaces.

crypto ikev2 policy 1
 encryption …

crypto ikev2 enable OUTSIDE

Step 2: Verify that IKE is configured for the IPsec Phase 2.

crypto ipsec ikev2 ipsec-proposal IPSEC_TRANS
 protocol esp encryption …

Note: Although IKEv2 is preferred, IKEv1 will meet the intent of this requirement.

If the IKE is not configured for all IPsec security associations, this is a finding.","Configure the ASA to use IKE for all IPsec VPN SAs.

Step 1: Configure IKE for the IPsec Phase 1 policy and enable it on applicable interfaces.

ASA1(config)# crypto ikev2 policy 1
ASA1(config-ikev2-policy)# encryption …

ASA1(config)# crypto ikev2 enable OUTSIDE

Step 2: Configure IKE for the IPsec Phase 2.
 
ASA1(config)# crypto ipsec ikev2 ipsec-proposal IPSEC_TRANS",,,FALSE,,,,,,,M,Unclass,"Cisco ASA VPN Security Technical Implementation Guide :: Version 1, Release: 1 Benchmark Date: 15 Jul 2021",5344,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

",CM-6 b,
V-239952,medium,SRG-NET-000132-VPN-000460,SV-239952r666262_rule,CASA-VN-000160,The Cisco ASA must be configured to use Internet Key Exchange v2 (IKEv2) for all IPsec security associations.,"In order to prevent unauthorized connection of devices, unauthorized transfer of information, or unauthorized tunneling (i.e., embedding of data types within data types); organizations must disable or restrict unused or unnecessary physical and logical ports/protocols on information systems.

Use of IKEv2 leverages DoS protections because of improved bandwidth management and leverages more secure encryption algorithms.",,"Verify the ASA is configured to use IKEv2 for IPsec VPN security associations.

Step 1: Verify that IKE is configured for the IPsec Phase 1 policy and enabled on applicable interfaces.

crypto ikev2 policy 1
 encryption …

crypto ikev2 enable OUTSIDE

Step 2: Verify that IKE is configured for the IPsec Phase 2.

crypto ipsec ikev2 ipsec-proposal IPSEC_TRANS
 protocol esp encryption …

If the ASA is not configured to use IKEv2 for all IPsec VPN security associations, this is a finding.","Configure the IPsec VPN Gateway to use IKEv2 for all IPsec VPN Security Associations.

Step 1: Configure IKE for the IPsec Phase 1 policy and enable it on applicable interfaces.

ASA1(config)# crypto ikev2 policy 1
ASA1(config-ikev2-policy)# encryption …

ASA1(config)# crypto ikev2 enable OUTSIDE

Step 2: Configure IKE for the IPsec Phase 2.

ASA1(config)# crypto ipsec ikev2 ipsec-proposal IPSEC_TRANS",,,FALSE,,,,,,,M,Unclass,"Cisco ASA VPN Security Technical Implementation Guide :: Version 1, Release: 1 Benchmark Date: 15 Jul 2021",5344,"CCI-000382
The organization configures the information system to prohibit or restrict the use of organization defined functions, ports, protocols, and/or services.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (iii)
NIST SP 800-53 Revision 4 :: CM-7 b

",CM-7 b,
V-239953,medium,SRG-NET-000510-VPN-002180,SV-239953r666265_rule,CASA-VN-000170,The Cisco ASA must be configured to use NIST FIPS-validated cryptography for Internet Key Exchange (IKE) Phase 1.,Use of weak or untested encryption algorithms undermines the purposes of utilizing encryption to protect data. The VPN gateway must implement cryptographic modules adhering to the higher standards approved by the federal government since this provides assurance they have been tested and validated.,,"Verify the ASA uses a NIST FIPS-validated cryptography for IKE Phase 1 as shown in the example below.

crypto ikev2 policy 1
 encryption aes-192

If the ASA is not configured to use NIST FIPS-validated cryptography for IKE Phase 1, this is a finding.","Configure the ASA to use NIST FIPS-validated cryptography for IKE Phase 1.

ASA1(config)# crypto ikev2 policy 1
ASA1(config-ikev2-policy)# encryption aes-192",,,FALSE,,,,,,,M,Unclass,"Cisco ASA VPN Security Technical Implementation Guide :: Version 1, Release: 1 Benchmark Date: 15 Jul 2021",5344,"CCI-002450
The information system implements organization-defined cryptographic uses and type of cryptography required for each use in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards.
NIST SP 800-53 Revision 4 :: SC-13

",SC-13,
V-239954,medium,SRG-NET-000371-VPN-001640,SV-239954r666268_rule,CASA-VN-000180,The Cisco ASA must be configured to specify Perfect Forward Secrecy (PFS) for the IPsec Security Association (SA) during IKE Phase 2 negotiation.,"PFS generates each new encryption key independently from the previous key. Without PFS, compromise of one key will compromise all communications.

The Phase 2 (Quick Mode) Security Association (SA) is used to create an IPsec session key. Hence, its rekey or key regeneration procedure is very important. The Phase 2 rekey can be performed with or without Perfect Forward Secrecy (PFS). With PFS, every time a new IPsec Security Association is negotiated during the Quick Mode, a new Diffie-Hellman (DH) exchange occurs. The new DH shared secret will be included with original keying material (SYKEID_d, initiator nonce, and responder nonce from Phase 1 for generating a new IPsec session key. If PFS is not used, the IPsec session key will always be completely dependent on the original keying material from Phase 1. Hence, if an older key is compromised at any time, it is possible that all new keys may be compromised.

The DH exchange is performed in the same manner as was done in Phase 1 (Main or Aggressive Mode). However, the Phase 2 exchange is protected by encrypting the Phase 2 packets with the key derived from the Phase 1 negotiation. Because DH negotiations during Phase 2 are encrypted, the new IPsec session key has an added element of secrecy.",,"Review crypto maps that reference an IPsec proposal. Verify the ASA is configured to specify PFS as shown in the example below.

crypto map IPSEC_CRYPTO_MAP 1 set pfs group5
crypto map IPSEC_CRYPTO_MAP 1 set peer x.x.x.x 
crypto map IPSEC_CRYPTO_MAP 1 set ikev2 ipsec-proposal IPSEC_TRANS

If the ASA is not configured to specify PFS for the IPsec SA during IKE Phase 2 negotiation, this is a finding.","Configure the ASA to specify PFS for the IPsec SA during IKE Phase 2 negotiation as shown in the example below.

ASA3(config)# crypto map IPSEC_CRYPTO_MAP 1 set pfs group5",,,FALSE,,,,,,,M,Unclass,"Cisco ASA VPN Security Technical Implementation Guide :: Version 1, Release: 1 Benchmark Date: 15 Jul 2021",5344,"CCI-002418
The information system protects the confidentiality and/or integrity of transmitted information.
NIST SP 800-53 Revision 4 :: SC-8

",SC-8,
