Vuln ID,Severity,Group Title,Rule ID,STIG ID,Rule Title,Discussion,IA Controls,Check Content,Fix Text,False Positives,False Negatives,Documentable,Mitigations,Potential Impact,Third Party Tools,Mitigation Control,Responsibility,Severity Override Guidance,Check Content Reference,Classification,STIG,Asset Posture,CCI,NIST SP 800-53 Revision 4 References,Legacy
V-220623,high,SRG-NET-000148-L2S-000015,SV-220623r863275_rule,CISC-L2-000020,The Cisco switch must uniquely identify and authenticate all network-connected endpoint devices before establishing any connection.,Controlling LAN access via 802.1x authentication can assist in preventing a malicious user from connecting an unauthorized PC to a switch port to inject or receive data from the network without detection.,,"Verify that the switch configuration has 802.1x authentication implemented for all access switch ports connecting to LAN outlets (i.e., RJ-45 wall plates) or devices not located in the telecom room, wiring closets, or equipment rooms. MAC Authentication Bypass (MAB) must be configured on switch ports connected to devices that do not support an 802.1x supplicant.

Step 1: Verify that 802.1x is configured on all host-facing interfaces as shown in the example below:

interface GigabitEthernet1/0
 switchport access vlan 12
 switchport mode access
 authentication port-control auto
 dot1x pae authenticator
!
interface GigabitEthernet1/1
 switchport access vlan 13
 switchport mode access
 authentication port-control auto
 dot1x pae authenticator
!
interface GigabitEthernet1/2
 switchport access vlan 13
 switchport mode access
 authentication port-control auto
 dot1x pae authenticator

Step 2: Verify that 802.1x authentication is configured on the switch as shown in the example below:

aaa new-model
!
!
aaa group server radius RADIUS_SERVERS
 server name RADIUS_1
 server name RADIUS_2
!
aaa authentication dot1x default group RADIUS_SERVERS
…
…
…
dot1x system-auth-control

Step 3: Verify that the radius servers have been defined:

SW1#show radius server-group RADIUS_SERVERS

Note: Single-host is the default. Host-mode multi-domain (for VoIP phone plus PC) or multi-auth (multiple PCs connected to a hub) can be configured as alternatives. Host-mode multi-host is not compliant with this requirement.

If 802.1x authentication or MAB is not configured on all access switch ports connecting to LAN outlets or devices not located in the telecom room, wiring closets, or equipment rooms, this is a finding.","Configure 802.1 x authentications on all host-facing access switch ports. To authenticate devices that do not support 802.1x, MAC Authentication Bypass must be configured.

Step 1: Configure the radius servers as shown in the example below:

SW1(config)#radius server RADIUS_1
SW1(config-radius-server)#address ipv4 10.1.22.3
SW1(config-radius-server)#key xxxxxx
SW1(config-radius-server)#exit
SW1(config)#radius server RADIUS_2
SW1(config-radius-server)#address ipv4 10.1.14.5
SW1(config-radius-server)#key xxxxxx
SW1(config-radius-server)#exit

Step 2: Enable 802.1x authentication on the switch:

SW1(config)#aaa new-model 
SW1(config)#aaa group server radius RADIUS_SERVERS
SW1(config-sg-radius)#server name RADIUS_1
SW1(config-sg-radius)#server name RADIUS_2
SW1(config-sg-radius)#exit
SW1(config)#aaa authentication dot1x default group RADIUS_SERVERS
SW1(config)#dot1x system-auth-control

Step 3: Enable 802.1x on all host-facing interfaces as shown in the example below:

SW1(config)#int range g1/0 - 8
SW1(config-if-range)#switchport mode access 
SW1(config-if-range)#authentication host-mode single-host 
SW1(config-if-range)#dot1x pae authenticator 
SW1(config-if-range)#authentication port-control auto
SW1(config-if-range)#end 

Note: Single-host is the default. Host-mode multi-domain (for VoIP phone plus PC) or multi-auth (multiple PCs connected to a hub) can be configured as alternatives.",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch L2S Security Technical Implementation Guide :: Version 2, Release: 3 Benchmark Date: 27 Oct 2022",4070,"CCI-000778
The information system uniquely identifies an organization defined list of specific and/or types of devices before establishing a local, remote, or network connection.
NIST SP 800-53 :: IA-3
NIST SP 800-53A :: IA-3.1 (ii)
NIST SP 800-53 Revision 4 :: IA-3

CCI-001958
The information system authenticates an organization defined list of specific and/or types of devices before establishing a local, remote, or network connection.
NIST SP 800-53 Revision 4 :: IA-3

",IA-3,V-101113; SV-110217
V-220624,medium,SRG-NET-000168-L2S-000019,SV-220624r539671_rule,CISC-L2-000030,The Cisco switch must authenticate all VLAN Trunk Protocol (VTP) messages with a hash function using the most secured cryptographic algorithm available.,"VTP provides central management of VLAN domains, thus reducing administration in a switched network. When configuring a new VLAN on a VTP server, the VLAN is distributed through all switches in the domain. This reduces the need to configure the same VLAN everywhere. 

VTP pruning preserves bandwidth by preventing VLAN traffic (unknown MAC, broadcast, multicast) from being sent down trunk links when not needed (e.g., there are no access switch ports in neighboring switches belonging to such VLANs). 

An attack can force a digest change for the VTP domain, enabling a rogue device to become the VTP server. This could allow unauthorized access to previously blocked VLANs or allow the addition of unauthorized switches into the domain. Authenticating VTP messages with a cryptographic hash function can reduce the risk of the VTP domain being compromised.",,"Review the switch configuration to verify that VTP is enabled using the show vtp status command as shown in the example below:

Switch#show vtp status
VTP Version capable : 1 to 3
VTP version running : 1
VTP Domain Name : 
VTP Pruning Mode : Disabled
VTP Traps Generation : Disabled
Device ID : 5e00.0000.8000

Feature VLAN:
--------------
VTP Operating Mode : Off
Maximum VLANs supported locally : 1005
Number of existing VLANs : 5
Configuration Revision : 0
MD5 digest : 0x57 0xCD 0x40 0x65 0x63 0x59 0x47 0xBD 
 0x56 0x9D 0x4A 0x3E 0xA5 0x69 0x35 0xBC 
Switch#

If mode is set to anything other than off, verify that a password has been configured using the show vtp password command.

Note: VTP authenticates all messages using an MD5 hash that consists of the VTP version plus the VTP Password plus VTP Domain plus VTP Configuration Revision.

If VTP is enabled on the switch and is not authenticating VTP messages with a hash function using a configured password, this is a finding.","Configure the switch to authenticate all VTP messages with a hash function using a configured password as shown in the example below:

SW1(config)#vtp password xxxxxxxxx",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch L2S Security Technical Implementation Guide :: Version 2, Release: 3 Benchmark Date: 27 Oct 2022",4070,"CCI-000803
The information system implements mechanisms for authentication to a cryptographic module that meet the requirements of applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance for such authentication.
NIST SP 800-53 :: IA-7
NIST SP 800-53A :: IA-7.1
NIST SP 800-53 Revision 4 :: IA-7

",IA-7,V-101115; SV-110219
V-220625,medium,SRG-NET-000193-L2S-000020,SV-220625r539671_rule,CISC-L2-000040,The Cisco switch must manage excess bandwidth to limit the effects of packet-flooding types of denial-of-service (DoS) attacks.,"Denial of service is a condition when a resource is not available for legitimate users. Packet-flooding DDoS attacks are referred to as volumetric attacks and have the objective of overloading a network or circuit to deny or seriously degrade performance, which denies access to the services that normally traverse the network or circuit. Volumetric attacks have become relatively easy to launch by using readily available tools such as Low Orbit Ion Cannon or botnets.

Measures to mitigate the effects of a successful volumetric attack must be taken to ensure that sufficient capacity is available for mission-critical traffic. Managing capacity may include, for example, establishing selected network usage priorities or quotas and enforcing them using rate limiting, Quality of Service (QoS), or other resource reservation control methods. These measures may also mitigate the effects of sudden decreases in network capacity that are the result of accidental or intentional physical damage to telecommunications facilities (such as cable cuts or weather-related outages).",,"Review the switch configuration to verify QoS has been enabled as shown below:

mls qos

If QoS has not been enabled, this is a finding.","Enable QoS on the switch:

SW1(config)#mls qos",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch L2S Security Technical Implementation Guide :: Version 2, Release: 3 Benchmark Date: 27 Oct 2022",4070,"CCI-001095
The information system manages excess capacity, bandwidth, or other redundancy to limit the effects of information flooding types of denial of service attacks.
NIST SP 800-53 :: SC-5 (2)
NIST SP 800-53A :: SC-5 (2).1
NIST SP 800-53 Revision 4 :: SC-5 (2)

",SC-5 (2),V-101117; SV-110221
V-220629,low,SRG-NET-000362-L2S-000021,SV-220629r856223_rule,CISC-L2-000090,The Cisco switch must have Root Guard enabled on all switch ports connecting to access layer switches.,"Spanning Tree Protocol (STP) does not provide any means for the network administrator to securely enforce the topology of the switched network. Any switch can be the root bridge in a network. However, a more optimal forwarding topology places the root bridge at a specific predetermined location. With the standard STP, any bridge in the network with a lower bridge ID takes the role of the root bridge. The administrator cannot enforce the position of the root bridge but can set the root bridge priority to ""0"" in an effort to secure the root bridge position.

The Root Guard feature provides a way to enforce the root bridge placement in the network. If the bridge receives superior STP Bridge Protocol Data Units (BPDUs) on a Root Guard-enabled port, Root Guard moves this port to a root-inconsistent STP state and no traffic can be forwarded across this port while it is in this state. To enforce the position of the root bridge, it is imperative that Root Guard is enabled on all ports where the root bridge should never appear.",,"Review the switch topology as well as the configuration to verify that Root Guard is enabled on all switch ports connecting to access layer switches.

interface GigabitEthernet0/0
 spanning-tree guard root
!
interface GigabitEthernet0/1
 spanning-tree guard root
…
…
…
interface GigabitEthernet0/9 
 spanning-tree guard root

If the switch has not enabled Root Guard on all switch ports connecting to access layer switches, this is a finding.","Configure the switch to have Root Guard enabled on all ports connecting to access layer switches.

SW1(config)#int range g0/0 - 9
SW1(config-if-range)#spanning-tree guard root",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch L2S Security Technical Implementation Guide :: Version 2, Release: 3 Benchmark Date: 27 Oct 2022",4070,"CCI-002385
The information system protects against or limits the effects of organization-defined types of denial of service attacks by employing organization-defined security safeguards.
NIST SP 800-53 Revision 4 :: SC-5

",SC-5,V-101125; SV-110229
V-220630,medium,SRG-NET-000362-L2S-000022,SV-220630r856224_rule,CISC-L2-000100,The Cisco switch must have Bridge Protocol Data Unit (BPDU) Guard enabled on all user-facing or untrusted access switch ports.,"If a rogue switch is introduced into the topology and transmits a BPDU with a lower bridge priority than the existing root bridge, it will become the new root bridge and cause a topology change, rendering the network in a suboptimal state.

The STP PortFast BPDU Guard enhancement allows network designers to enforce the STP domain borders and keep the active topology predictable. The devices behind the ports that have STP PortFast enabled are not able to influence the STP topology. At the reception of BPDUs, the BPDU Guard operation disables the port that has PortFast configured. The BPDU Guard transitions the port into ""errdisable"" state and sends a log message.",,"Review the switch configuration to verify that BPDU Guard is enabled on all user-facing or untrusted access switch ports as shown in the configuration example below:

interface GigabitEthernet0/0
 spanning-tree bpduguard enable
!
interface GigabitEthernet0/1
 spanning-tree bpduguard enable
…
…
…
interface GigabitEthernet0/9 
 spanning-tree bpduguard enable

If the switch has not enabled BPDU Guard, this is a finding.","Enable BPDU Guard on all user-facing or untrusted access switch ports as shown in the configuration example below:

SW1(config)#int range g0/0 - 9
SW1(config-if-range)#spanning-tree bpduguard enable

Note: BPDU Guard can also be enabled globally on all Port Fast-enabled ports by using the spanning-tree portfast bpduguard default command.",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch L2S Security Technical Implementation Guide :: Version 2, Release: 3 Benchmark Date: 27 Oct 2022",4070,"CCI-002385
The information system protects against or limits the effects of organization-defined types of denial of service attacks by employing organization-defined security safeguards.
NIST SP 800-53 Revision 4 :: SC-5

",SC-5,V-101127; SV-110231
V-220631,medium,SRG-NET-000362-L2S-000023,SV-220631r856225_rule,CISC-L2-000110,The Cisco switch must have Spanning Tree Protocol (STP) Loop Guard enabled.,"The STP loop guard feature provides additional protection against STP loops. An STP loop is created when an STP blocking port in a redundant topology erroneously transitions to the forwarding state. In its operation, STP relies on continuous reception and transmission of BPDUs based on the port role. 

The designated port transmits BPDUs, and the non-designated port receives BPDUs. When one of the ports in a physically redundant topology no longer receives BPDUs, the STP conceives that the topology is loop free. Eventually, the blocking port from the alternate or backup port becomes a designated port and moves to a forwarding state. This situation creates a loop. The Loop Guard feature makes additional checks. If BPDUs are not received on a non-designated port and loop guard is enabled, that port is moved into the STP loop-inconsistent blocking state.",,"Review the switch configuration to verify that STP Loop Guard is enabled as shown in the configuration example below:

hostname SW2
…
…
…
spanning-tree mode pvst
spanning-tree loopguard default

If STP Loop Guard is not enabled, this is a finding.",Configure the switch to have STP Loop Guard enabled via the spanning-tree loopguard default global command.,,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch L2S Security Technical Implementation Guide :: Version 2, Release: 3 Benchmark Date: 27 Oct 2022",4070,"CCI-002385
The information system protects against or limits the effects of organization-defined types of denial of service attacks by employing organization-defined security safeguards.
NIST SP 800-53 Revision 4 :: SC-5

",SC-5,V-101129; SV-110233
V-220632,medium,SRG-NET-000362-L2S-000024,SV-220632r856226_rule,CISC-L2-000120,The Cisco switch must have Unknown Unicast Flood Blocking (UUFB) enabled.,"Access layer switches use the Content Addressable Memory (CAM) table to direct traffic to specific ports based on the VLAN number and the destination MAC address of the frame. When a router has an Address Resolution Protocol (ARP) entry for a destination host and forwards it to the access layer switch and there is no entry corresponding to the frame's destination MAC address in the incoming VLAN, the frame will be sent to all forwarding ports within the respective VLAN, which causes flooding.

Large amounts of flooded traffic can saturate low-bandwidth links, causing network performance issues or complete connectivity outage to the connected devices. Unknown unicast flooding has been a nagging problem in networks that have asymmetric routing and default timers. 

To mitigate the risk of a connectivity outage, the UUFB feature must be implemented on all access layer switches. The UUFB feature will block unknown unicast traffic flooding and only permit egress traffic with MAC addresses that are known to exit on the port.",,"Review the switch configuration to verify that UUFB is enabled on all access switch ports as shown in the configuration example below:

interface GigabitEthernet0/0
 switchport block unicast
!
interface GigabitEthernet0/1
 switchport block unicast
…
…
…
interface GigabitEthernet0/9 
 switchport block unicast

If any access switch ports do not have UUFB enabled, this is a finding.","Configure the switch to have UUFB enabled as shown in the configuration example below:

SW1(config)#int range g0/0 - 9
SW1(config-if-range)#switchport block unicast",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch L2S Security Technical Implementation Guide :: Version 2, Release: 3 Benchmark Date: 27 Oct 2022",4070,"CCI-002385
The information system protects against or limits the effects of organization-defined types of denial of service attacks by employing organization-defined security safeguards.
NIST SP 800-53 Revision 4 :: SC-5

",SC-5,V-101131; SV-110235
V-220633,medium,SRG-NET-000362-L2S-000025,SV-220633r863243_rule,CISC-L2-000130,The Cisco switch must have DHCP snooping for all user VLANs to validate DHCP messages from untrusted sources.,"In an enterprise network, devices under administrative control are trusted sources. These devices include the switches, routers, and servers in the network. Host ports and unknown DHCP servers are considered untrusted sources. An unknown DHCP server on the network on an untrusted port is called a spurious DHCP server, any device (PC, wireless access point) that is loaded with DHCP server enabled. 

The DHCP snooping feature determines whether traffic sources are trusted or untrusted. The potential exists for a spurious DHCP server to respond to DHCPDISCOVER messages before the real server has time to respond. DHCP snooping allows switches on the network to trust the port a DHCP server is connected to and not trust the other ports.

The DHCP snooping feature validates DHCP messages received from untrusted sources, filters out invalid messages, and rate-limits DHCP traffic from trusted and untrusted sources. The DHCP snooping feature builds and maintains a binding database, which contains information about untrusted hosts with leased IP addresses, and it uses the database to validate subsequent requests from untrusted hosts. 

Other security features, such as IP Source Guard and Dynamic Address Resolution Protocol (ARP) Inspection (DAI), also use information stored in the DHCP snooping binding database. Hence, it is imperative that the DHCP snooping feature is enabled on all VLANs.",,"NOTE: For VLANs managed via 802.1x, this check is N/A.

Review the switch configuration and verify that DHCP snooping is enabled on all user VLANs as shown in the example below:

hostname SW2
…
…
…
ip dhcp snooping vlan 2,4-8,11
ip dhcp snooping

Note: Switchports assigned to a user VLAN would have drops in the area where the user community would reside; hence, the ""untrusted"" term is used. Server and printer VLANs would not be applicable.

If the switch does not have DHCP snooping enabled for all user VLANs to validate DHCP messages from untrusted sources, this is a finding.","Configure the switch to have DHCP snooping for all user VLANs to validate DHCP messages from untrusted sources as shown in the example below:

SW2(config)#ip dhcp snooping
SW2(config)#ip dhcp snooping vlan 2,4-8,11",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch L2S Security Technical Implementation Guide :: Version 2, Release: 3 Benchmark Date: 27 Oct 2022",4070,"CCI-002385
The information system protects against or limits the effects of organization-defined types of denial of service attacks by employing organization-defined security safeguards.
NIST SP 800-53 Revision 4 :: SC-5

",SC-5,V-101133; SV-110237
V-220634,medium,SRG-NET-000362-L2S-000026,SV-220634r863245_rule,CISC-L2-000140,The Cisco switch must have IP Source Guard enabled on all user-facing or untrusted access switch ports.,"IP Source Guard provides source IP address filtering on a Layer 2 port to prevent a malicious host from impersonating a legitimate host by assuming the legitimate host's IP address. The feature uses dynamic DHCP snooping and static IP source binding to match IP addresses to hosts on untrusted Layer 2 access ports. 

Initially, all IP traffic on the protected port is blocked except for DHCP packets. After a client receives an IP address from the DHCP server, or after static IP source binding is configured by the administrator, all traffic with that IP source address is permitted from that client. Traffic from other hosts is denied. This filtering limits a host's ability to attack the network by claiming a neighbor host's IP address.",,"NOTE: For VLANs managed via 802.1x, this check is N/A.

Review the switch configuration to verify that IP Source Guard is enabled on all user-facing or untrusted access switch ports as shown in the example below:

interface GigabitEthernet0/0
 ip verify source
!
interface GigabitEthernet0/1
 ip verify source
…
…
…
interface GigabitEthernet0/9 
 ip verify source

Note: The IP Source Guard feature depends on the entries in the DHCP snooping database or static IP-MAC-VLAN configuration commands to verify IP-to-MAC address bindings.

If the switch does not have IP Source Guard enabled on all untrusted access switch ports, this is a finding.","Configure the switch to have IP Source Guard enabled on all user-facing or untrusted access switch ports:

SW2(config)#int range g0/0 - 9
SW2(config-if-range)#ip verify source",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch L2S Security Technical Implementation Guide :: Version 2, Release: 3 Benchmark Date: 27 Oct 2022",4070,"CCI-002385
The information system protects against or limits the effects of organization-defined types of denial of service attacks by employing organization-defined security safeguards.
NIST SP 800-53 Revision 4 :: SC-5

",SC-5,V-101135; SV-110239
V-220635,medium,SRG-NET-000362-L2S-000027,SV-220635r863247_rule,CISC-L2-000150,The Cisco switch must have Dynamic Address Resolution Protocol (ARP) Inspection (DAI) enabled on all user VLANs.,"DAI intercepts ARP requests and verifies that each of these packets has a valid IP-to-MAC address binding before updating the local ARP cache and before forwarding the packet to the appropriate destination. Invalid ARP packets are dropped and logged. 

DAI determines the validity of an ARP packet based on valid IP-to-MAC address bindings stored in the DHCP snooping binding database. If the ARP packet is received on a trusted interface, the switch forwards the packet without any checks. On untrusted interfaces, the switch forwards the packet only if it is valid.",,"NOTE: For VLANs managed via 802.1x, this check is N/A.

Review the switch configuration to verify that the DAI feature is enabled on all user VLANs:

hostname SW2
…
…
…
ip arp inspection vlan 2,4-8,11

Note: DAI depends on the entries in the DHCP snooping binding database to verify IP-to-MAC address bindings in incoming ARP requests and ARP responses.

If DAI is not enabled on all user VLANs, this is a finding.","Configure the switch to have DAI enabled on all user VLANs as shown in the example below:

SW2(config)#ip arp inspection vlan 2,4-8,11",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch L2S Security Technical Implementation Guide :: Version 2, Release: 3 Benchmark Date: 27 Oct 2022",4070,"CCI-002385
The information system protects against or limits the effects of organization-defined types of denial of service attacks by employing organization-defined security safeguards.
NIST SP 800-53 Revision 4 :: SC-5

",SC-5,V-101137; SV-110241
