Vuln ID,Severity,Group Title,Rule ID,STIG ID,Rule Title,Discussion,IA Controls,Check Content,Fix Text,False Positives,False Negatives,Documentable,Mitigations,Potential Impact,Third Party Tools,Mitigation Control,Responsibility,Severity Override Guidance,Check Content Reference,Classification,STIG,Asset Posture,CCI,NIST SP 800-53 Revision 4 References,Legacy
V-220570,medium,SRG-APP-000001-NDM-000200,SV-220570r835068_rule,CISC-ND-000010,The Cisco switch must be configured to limit the number of concurrent management sessions to an organization-defined number.,"Device management includes the ability to control the number of administrators and management sessions that manage a device. Limiting the number of allowed administrators and sessions per administrator based on account type, role, or access type is helpful in limiting risks related to DoS attacks.

This requirement addresses concurrent sessions for administrative accounts and does not address concurrent sessions by a single administrator via multiple administrative accounts. The maximum number of concurrent sessions should be defined based on mission needs and the operational environment for each system. At a minimum, limits must be set for SSH, HTTPS, account of last resort, and root account sessions.",,"Note: This requirement is not applicable to file transfer actions such as FTP, SCP, and SFTP.

Review the switch configuration to determine if concurrent management sessions are limited as show in the example below:

ip http secure-server
ip http max-connections 2
…
…
…

For platforms that support the session-limit command:

line vty 0 4
 session-limit 2
 transport input ssh


For platforms that do not support the session-limit command, the sessions can also be limited by reducing the number of active vty lines as shown in the example below:

line vty 0 1
 transport input ssh
line vty 2 4
 transport input none

If the switch is not configured to limit the number of concurrent management sessions, this is a finding.","Configure the switch to limit the number of concurrent management sessions to an organization-defined number as shown in the example below:

SW4(config)#ip http max-connections 2
SW4(config)#line vty 0 1
SW4(config)#transport input ssh
SW4(config)#line vty 2 4
SW4(config)#transport input none",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch NDM Security Technical Implementation Guide :: Version 2, Release: 4 Benchmark Date: 27 Jul 2022",4069,"CCI-000054
The information system limits the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number of sessions.
NIST SP 800-53 :: AC-10
NIST SP 800-53A :: AC-10.1 (ii)
NIST SP 800-53 Revision 4 :: AC-10

",AC-10,V-101265; SV-110369
V-220571,medium,SRG-APP-000026-NDM-000208,SV-220571r521267_rule,CISC-ND-000090,The Cisco switch must be configured to automatically audit account creation.,"Upon gaining access to a network device, an attacker will often first attempt to create a persistent method of reestablishing access. One way to accomplish this is to create a new account. Notification of account creation helps to mitigate this risk. 

Auditing account creation provides the necessary reconciliation that account management procedures are being followed. Without this audit trail, personnel without the proper authorization may gain access to critical network nodes.",,"Review the switch configuration to determine if it automatically audits account creation. The configuration should look similar to the example below:

archive
 log config
 logging enable

Note: Configuration changes can be viewed using the show archive log config all command.

If account creation is not automatically audited, this is a finding.","Configure the switch to log account creation using the following commands:

SW4(config)#archive
SW4(config-archive)#log config
SW4(config-archive-log-cfg)#logging enable
SW4(config-archive-log-cfg)#end",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch NDM Security Technical Implementation Guide :: Version 2, Release: 4 Benchmark Date: 27 Jul 2022",4069,"CCI-000018
The information system automatically audits account creation actions.
NIST SP 800-53 :: AC-2 (4)
NIST SP 800-53A :: AC-2 (4).1 (i&ii)
NIST SP 800-53 Revision 4 :: AC-2 (4)

",AC-2 (4),V-101267; SV-110371
V-220572,medium,SRG-APP-000027-NDM-000209,SV-220572r521267_rule,CISC-ND-000100,The Cisco switch must be configured to automatically audit account modification.,"Because the accounts in the network device are privileged or system-level accounts, account management is vital to the security of the network device. Account management by a designated authority ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel with the appropriate and necessary privileges. 

Auditing account modification, along with an automatic notification to appropriate individuals, will provide the necessary reconciliation that account management procedures are being followed. If modifications to management accounts are not audited, reconciliation of account management procedures cannot be tracked.",,"Review the switch configuration to determine if it automatically audits account modification. The configuration should look similar to the example below:

archive
 log config
 logging enable

Note: Configuration changes can be viewed using the show archive log config all command.

If account modification is not automatically audited, this is a finding.","Configure the switch to log account modification using the following commands:

SW4(config)#archive
SW4(config-archive)#log config
SW4(config-archive-log-cfg)#logging enable
SW4(config-archive-log-cfg)#end",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch NDM Security Technical Implementation Guide :: Version 2, Release: 4 Benchmark Date: 27 Jul 2022",4069,"CCI-001403
The information system automatically audits account modification actions.
NIST SP 800-53 :: AC-2 (4)
NIST SP 800-53A :: AC-2 (4).1 (i&ii)
NIST SP 800-53 Revision 4 :: AC-2 (4)

",AC-2 (4),V-101269; SV-110373
V-220573,medium,SRG-APP-000028-NDM-000210,SV-220573r521267_rule,CISC-ND-000110,The Cisco switch must be configured to automatically audit account disabling actions.,"Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account disabling actions will support account management procedures. 

When device management accounts are disabled, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.",,"Review the switch configuration to determine if it automatically audits account disabling. The configuration should look similar to the example below:

archive
 log config
 logging enable

Note: Configuration changes can be viewed using the show archive log config all command.

If account disabling is not automatically audited, this is a finding.","Configure the switch to log account disabling using the following commands:

SW4(config)#archive
SW4(config-archive)#log config
SW4(config-archive-log-cfg)#logging enable
SW4(config-archive-log-cfg)#end",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch NDM Security Technical Implementation Guide :: Version 2, Release: 4 Benchmark Date: 27 Jul 2022",4069,"CCI-001404
The information system automatically audits account disabling actions.
NIST SP 800-53 :: AC-2 (4)
NIST SP 800-53A :: AC-2 (4).1 (i&ii)
NIST SP 800-53 Revision 4 :: AC-2 (4)

",AC-2 (4),V-101271; SV-110375
V-220574,medium,SRG-APP-000029-NDM-000211,SV-220574r521267_rule,CISC-ND-000120,The Cisco switch must be configured to automatically audit account removal actions.,"Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account removal actions will support account management procedures. 

When device management accounts are terminated, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.",,"Review the switch configuration to determine if it automatically audits account removal. The configuration should look similar to the example below:

archive
 log config
 logging enable

Note: Configuration changes can be viewed using the show archive log config all command.

If account removal is not automatically audited, this is a finding.","Configure the switch to log account removal using the following commands:

SW4(config)#archive
SW4(config-archive)#log config
SW4(config-archive-log-cfg)#logging enable
SW4(config-archive-log-cfg)#end",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch NDM Security Technical Implementation Guide :: Version 2, Release: 4 Benchmark Date: 27 Jul 2022",4069,"CCI-001405
The information system automatically audits account removal actions.
NIST SP 800-53 :: AC-2 (4)
NIST SP 800-53A :: AC-2 (4).1 (i&ii)
NIST SP 800-53 Revision 4 :: AC-2 (4)

",AC-2 (4),V-101273; SV-110377
V-220575,medium,SRG-APP-000038-NDM-000213,SV-220575r835071_rule,CISC-ND-000140,The Cisco switch must be configured to enforce approved authorizations for controlling the flow of management information within the device based on control policies.,"A mechanism to detect and prevent unauthorized communication flow must be configured or provided as part of the system design. If management information flow is not enforced based on approved authorizations, the network device may become compromised. Information flow control regulates where management information is allowed to travel within a network device. The flow of all management information must be monitored and controlled so it does not introduce any unacceptable risk to the network device or data. 

Application-specific examples of enforcement occur in systems that employ rule sets or establish configuration settings that restrict information system services or message-filtering capability based on message content (e.g., implementing key word searches or using document characteristics).

Applications providing information flow control must be able to enforce approved authorizations for controlling the flow of management information within the system in accordance with applicable policy.",,"Review the Cisco switch configuration to verify that administrative access to the switch is allowed only from hosts residing in the management network.

Step 1: Verify that the line vty has an ACL inbound applied as shown in the example below:

line vty 0 1
 access-class MANAGEMENT_NET in
 transport input ssh

Step 2: Verify that the ACL permits only hosts from the management network to access the switch.

iip access-list extended MANAGEMENT_NET 
permit ip x.x.x.0 0.0.0.255 any
deny   ip any any log-input

If the Cisco switch is not configured to enforce approved authorizations for controlling the flow of management information within the device based on control policies, this is a finding.","Configure the Cisco switch to restrict management access to specific IP addresses via SSH as shown in the example below:

SW2(config)#ip access-list extended MANAGEMENT_NET 
SW2(config-std-nacl)#permit x.x.x.0 0.0.0.255 
SW2(config-std-nacl)#exit 
SW2(config)#line vty 0 1 
SW2(config-line)#transport input ssh 
SW2(config-line)#access-class MANAGEMENT_NET in 
SW2(config-line)#end",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch NDM Security Technical Implementation Guide :: Version 2, Release: 4 Benchmark Date: 27 Jul 2022",4069,"CCI-001368
The information system enforces approved authorizations for controlling the flow of information within the system based on organization-defined information flow control policies.
NIST SP 800-53 :: AC-4
NIST SP 800-53A :: AC-4.1 (iii)
NIST SP 800-53 Revision 4 :: AC-4

",AC-4,V-101275; SV-110379
V-220576,medium,SRG-APP-000065-NDM-000214,SV-220576r521267_rule,CISC-ND-000150,"The Cisco switch must be configured to enforce the limit of three consecutive invalid logon attempts, after which time it must lock out the user account from accessing the device for 15 minutes.","By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-forcing, is reduced.",,"Review the Cisco switch configuration to verify that it enforces the limit of three consecutive invalid logon attempts as shown in the example below:

login block-for 900 attempts 3 within 120

Note: The configuration example above will block any logon attempt for 15 minutes after three consecutive invalid logon attempts within a two-minute period.

If the Cisco switch is not configured to enforce the limit of three consecutive invalid logon attempts, this is a finding.","Configure the Cisco switch to enforce the limit of three consecutive invalid logon attempts as shown in the example below:

SW2(config)#login block-for 900 attempts 3 within 120",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch NDM Security Technical Implementation Guide :: Version 2, Release: 4 Benchmark Date: 27 Jul 2022",4069,"CCI-000044
The information system enforces the organization-defined limit of consecutive invalid logon attempts by a user during the organization-defined time period.
NIST SP 800-53 :: AC-7 a
NIST SP 800-53A :: AC-7.1 (ii)
NIST SP 800-53 Revision 4 :: AC-7 a

",AC-7 a,V-101277; SV-110381
V-220577,medium,SRG-APP-000068-NDM-000215,SV-220577r521267_rule,CISC-ND-000160,The Cisco switch must be configured to display the Standard Mandatory DoD Notice and Consent Banner before granting access to the device.,"Display of the DoD-approved use notification before granting access to the network device ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via logon interfaces with human users.",,"Review the Cisco switch configuration to verify that it displays the Standard Mandatory DoD Notice and Consent Banner before granting access to the device as shown in the example below:

banner login ^C
You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:

-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.

-At any time, the USG may inspect and seize data stored on this IS.

-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.

-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.

-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.
^C

If the Cisco switch is not configured to display the Standard Mandatory DoD Notice and Consent Banner before granting access to the device, this is a finding.","Configure the Cisco switch to display the Standard Mandatory DoD Notice and Consent Banner before granting access as shown in the following example:

SW1(config)#banner login #
Enter TEXT message. End with the character '#'.
You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:

-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.

-At any time, the USG may inspect and seize data stored on this IS.

-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.

-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.

-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details. #
SW1(config)#end",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch NDM Security Technical Implementation Guide :: Version 2, Release: 4 Benchmark Date: 27 Jul 2022",4069,"CCI-000048
The information system displays an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.
NIST SP 800-53 :: AC-8 a
NIST SP 800-53A :: AC-8.1 (ii)
NIST SP 800-53 Revision 4 :: AC-8 a

",AC-8 a,V-101279; SV-110383
V-220578,medium,SRG-APP-000080-NDM-000220,SV-220578r835072_rule,CISC-ND-000210,The Cisco device must be configured to audit all administrator activity.,"This requirement supports non-repudiation of actions taken by an administrator and is required to maintain the integrity of the configuration management process. All configuration changes to the network device are logged, and administrators authenticate with two-factor authentication before gaining administrative access. Together, these processes will ensure the administrators can be held accountable for the configuration changes they implement.

To meet this requirement, the network device must log administrator access and activity.",,"Review the Cisco switch configuration to verify that it logs administrator activity as shown in the example below:

hostname R1
!
logging userinfo
!
…
…
…
archive
 log config
 logging enable
!

Note: The logging userinfo global configuration command will generate a log when a user increases his or her privilege level.

If logging of administrator activity is not configured, this is a finding.","Configure the switch to log administrator activity as shown in the example below:

SW1(config)#logging userinfo
SW1(config)#archive
SW1(config-archive)#log config
SW1(config-archive-log-cfg)#logging enable
SW1(config-archive-log-cfg)#end",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch NDM Security Technical Implementation Guide :: Version 2, Release: 4 Benchmark Date: 27 Jul 2022",4069,"CCI-000166
The information system protects against an individual (or process acting on behalf of an individual) falsely denying having performed organization-defined actions to be covered by non-repudiation.
NIST SP 800-53 :: AU-10
NIST SP 800-53A :: AU-10.1
NIST SP 800-53 Revision 4 :: AU-10

CCI-002234
The information system audits the execution of privileged functions.
NIST SP 800-53 Revision 4 :: AC-6 (9)

CCI-000172
The information system generates audit records for the events defined in AU-2 d with the content defined in AU-3.
NIST SP 800-53 :: AU-12 c
NIST SP 800-53A :: AU-12.1 (iv)
NIST SP 800-53 Revision 4 :: AU-12 c

",AC-6 (9);AU-10;AU-12 c,V-101281; SV-110385
V-220580,medium,SRG-APP-000096-NDM-000226,SV-220580r521267_rule,CISC-ND-000280,The Cisco switch must produce audit records containing information to establish when (date and time) the events occurred.,"It is essential for security personnel to know what is being done, what was attempted, where it was done, when it was done, and by whom it was done to compile an accurate risk assessment. 

Logging the date and time of each detected event provides a means of investigating an attack, recognizing resource utilization or capacity thresholds, or identifying an improperly configured network device. To establish and correlate the series of events leading up to an outage or attack, it is imperative the date and time are recorded in all log records.",,"Verify that the switch is configured to include the date and time on all log records as shown in the configuration example below:

service timestamps log datetime localtime

If time stamps are not configured, this is a finding.","Configure the switch to include the date and time on all log records as shown in the example below:

SW1(config)#service timestamps log datetime localtime",,,FALSE,,,,,,,M,Unclass,"Cisco IOS Switch NDM Security Technical Implementation Guide :: Version 2, Release: 4 Benchmark Date: 27 Jul 2022",4069,"CCI-000131
The information system generates audit records containing information that establishes when an event occurred.
NIST SP 800-53 :: AU-3
NIST SP 800-53A :: AU-3.1
NIST SP 800-53 Revision 4 :: AU-3

",AU-3,V-101285; SV-110389
